gene,importance
PRKAB1,0.0002978488564816746
PDGFB,0.00029719627458169934
HDAC1,0.0002970768309800784
DDIT4,0.00029688234632186224
ARFGEF1,0.000296241601842126
UBE2D1,0.0002954114257232656
ITGA3,0.00029515210375682737
ARL6IP1,0.0002941073159318728
MYL7,0.0002940289744961049
SRP9,0.0002900048459199696
ADH1C,0.00028947143858514934
XPNPEP1,0.0002892667739022675
AFF1,0.0002883791759280242
PITPNC1,0.0002882805828751564
AMFR,0.0002881360759425914
PDK2,0.00028675982170909333
SLC7A5,0.00028581948394831527
MCM4,0.00028464662774397106
GLI1,0.00028397079213504444
OAZ3,0.00028359068703326254
ATOH8,0.0002831386832850261
CSNK2A2,0.0002825719426026189
ETV5,0.0002823854443423169
TP53INP1,0.00028194261581262955
RALB,0.000280311968445915
KLK10,0.00027909399861291025
IL27RA,0.0002778431647240892
EPOR,0.0002768481442150102
RAD52,0.0002754548871993082
DTX2,0.0002743857786857606
ERBB3,0.00027339801768513466
BTBD3,0.0002726459435092081
RETSAT,0.0002722014112252303
NCBP1,0.00027181808489890437
EMP2,0.0002708459914297165
SMC2,0.0002702782419734839
UPP1,0.00026981472488817304
PPP3R1,0.00026924614181592104
PKD2,0.0002688688573696432
PIF1,0.00026856787109649896
BLVRA,0.000268489698055164
HSPA4L,0.0002684750844649907
CMPK1,0.00026742787966262317
BRCA1,0.00026737705593198947
CDC7,0.00026645346332364187
TUBG1,0.00026620090814060175
AXIN2,0.00026513775372958697
B3GNT3,0.00026439566679403996
IL13RA1,0.0002638764752080887
NFYC,0.0002626702883913417
MGLL,0.00026198476689264676
TPD52,0.00026049618589712607
RET,0.00026041716026076016
CKMT2,0.000260156884053253
LGALS3,0.00025981426958037157
SYBU,0.00025955630952184135
PARN,0.00025947846789392483
PGS1,0.00025895298396441685
ACADL,0.0002582404824331741
TES,0.00025814762907389174
FBLN5,0.000257966829109766
ALDH1L1,0.0002578747020648296
CXCL8,0.00025750012743408387
GBP2,0.0002568696040355651
EIF4A2,0.00025636313590266495
SQLE,0.0002558768995959091
DCBLD2,0.00025531534694690284
ATP6AP1,0.0002550347275979772
TGFA,0.0002546042577168661
MUC1,0.0002541534955334095
TANK,0.0002539546789172202
ARFGAP3,0.0002538225797089088
PGK1,0.0002538052399731753
GPX7,0.00025322303291508305
PIGR,0.0002512549289002346
BAX,0.0002504551206050001
PFKFB1,0.0002500883797117921
COPZ2,0.0002497873955642146
TBC1D30,0.0002495689759561365
HRC,0.0002495034924734694
AKT1,0.00024911430014433906
STIL,0.00024860938516196493
NEFH,0.00024782950214592817
CANT1,0.00024635801877022546
MYO1E,0.00024589997615791676
SKAP2,0.0002454203962068104
CD59,0.0002451295660749678
SERPINA3,0.00024455394759657933
GNA14,0.00024376553591583846
MCM5,0.00024351265647247765
ALDH18A1,0.00024320696046146778
MDH1,0.00024286407849720168
ARHGAP10,0.000242798407067031
E2F1,0.0002424096503917967
CKAP4,0.00024228371256405118
SLC25A5,0.00024216767401640855
MAPK9,0.00024176434257891784
SERPINH1,0.00024160022259443495
ABHD6,0.00024148978828233676
MAOA,0.00024139323143201985
FMOD,0.00024111375196723283
ITIH3,0.0002406301648602118
ATP2C1,0.0002398713163974468
APOD,0.00023984306594616685
PXN,0.0002395113107246021
STXBP1,0.00023950755869147036
SPRED2,0.0002378109931957805
TM7SF2,0.00023726225076939024
CBX3,0.0002369246788650725
IMPA2,0.00023652079361145283
MTMR10,0.00023624768408344793
ANXA1,0.00023607242376082654
ZFP36L1,0.00023480708392493085
PTCH1,0.00023471579394891625
PRKCA,0.0002346100897995606
ITGA7,0.000234453308095974
JUNB,0.00023431353394400087
CDH11,0.000233977503431095
HSPA9,0.00023364072382837047
RSU1,0.00023308968441155753
CLDN8,0.00023282687148818242
SMC4,0.00023282132141319396
SRSF6,0.00023161918220328807
NPR2,0.00023153125649838028
ENPP1,0.0002313543761446988
TMEM97,0.0002309581538633723
ACTG2,0.00022978693182554755
CHPF2,0.00022961601786999873
SLC30A3,0.0002294671909251078
RRAD,0.0002289840567670458
INHBB,0.00022796764212585187
SLC35B1,0.00022773764561789873
TMEM158,0.00022765979556128746
PTGS2,0.00022764894437609504
